scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Sylvia buryi,Animalia,OLD_WORLD_WARBLERS_SYLVIIDAE,Yemen Warbler,,2,42.1622597103,18.8866038984,Asia,Saudi Arabia,SA,,Saudi Arabia - Asir NP,2014-01-24,14:22
Ptyonoprogne obsoleta,Animalia,SWALLOWS_HIRUNDINIDAE,Pale Crag Martin,,3,42.131458,18.963355,Asia,Saudi Arabia,SA,,Saudi Arabia - Asir NP,2014-01-24,09:20
Monticola rufocinereus,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Little Rock Thrush,,1,42.130484,18.965798,Asia,Saudi Arabia,SA,,Saudi Arabia - Asir NP,2014-01-24,09:14
Dendrocoptes dorae,Animalia,WOODPECKERS_PICIDAE,Arabian Woodpecker,,1,42.130352,18.964724,Asia,Saudi Arabia,SA,,Saudi Arabia - Asir NP,2014-01-24,07:27
Onychognathus tristramii,Animalia,STARLINGS_STURNIDAE,Tristram's Starling,,200,42.4059491376,18.2147031747,Asia,Saudi Arabia,SA,,Saudi Arabia - Raydah Protected Area,2014-01-23,12:50
Oenanthe melanura,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Blackstart,,2,42.980439,17.023464,Asia,Saudi Arabia,SA,,Saudi Arabia - Jazan,2014-01-22,16:22
Oena capensis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Namaqua Dove,,2,42.9620721693,17.0536681423,Asia,Saudi Arabia,SA,,Saudi Arabia - Jazan,2014-01-22,14:08
Pelecanus rufescens,Animalia,PELICANS_PELECANIDAE,Pink-backed Pelican,,1,42.1381018493,17.5755368016,Asia,Saudi Arabia,SA,,Saudi Arabia - Jazan,2014-01-21,07:55
Butorides striata,Animalia,HERONS_ARDEIDAE,Striated Heron,,1,42.1399689554,17.5792201356,Asia,Saudi Arabia,SA,,Saudi Arabia - Jazan,2014-01-21,07:57
Egretta gularis,Animalia,HERONS_ARDEIDAE,Western Reef Heron,,1,41.50069501,18.25206566,Asia,Saudi Arabia,SA,,Saudi Arabia - Mecca,2014-01-20,14:00
Ichthyaetus leucophthalmus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,White-eyed Gull,,2,41.50069501,18.25206566,Asia,Saudi Arabia,SA,,Saudi Arabia - Mecca,2014-01-20,14:00
Alaemon alaudipes,Animalia,LARKS_ALAUDIDAE,Greater Hoopoe-Lark,,1,40.95603192,19.51363181,Asia,Saudi Arabia,SA,,Saudi Arabia - Mecca,2014-01-19,11:24
Ichthyaetus leucophthalmus,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,White-eyed Gull,,2,39.1306132078,21.2602586288,Asia,Saudi Arabia,SA,,Saudi Arabia - Mecca,2014-01-18,11:50
Galerida cristata,Animalia,LARKS_ALAUDIDAE,Crested Lark,,2,50.05292189,26.59350171,Asia,Saudi Arabia,SA,,Saudi Arabia - Ash Sharquiyah,2014-01-15,15:33
Oenanthe deserti,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Desert Wheatear,,1,49.501554,27.086036,Asia,Saudi Arabia,SA,,Saudi Arabia - Ash Sharquiyah,2014-01-12,16:38
Hydroprogne caspia,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Caspian Tern,,1,49.496579,27.059813,Asia,Saudi Arabia,SA,,Saudi Arabia - Ash Sharquiyah,2014-01-12,14:12
Hydroprogne caspia,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Caspian Tern,,3,49.481488,27.047302,Asia,Saudi Arabia,SA,,Saudi Arabia - Ash Sharquiyah,2014-01-12,12:15
Brachythemis impartita,Animalia,SKIMMERS_LIBELLULIDAE,Northern Banded Groundling,,200,42.962,17.052,Asia,Saudi Arabia,SA,,Saudi Arabia - Jazan,2014-01-22,12:50
Oena capensis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Namaqua Dove,,1,42.947914,17.051499,Asia,Saudi Arabia,SA,,Saudi Arabia - Jazan,2014-01-22,12:33
Lanius excubitor aucheri,Animalia,SHRIKES_LANIIDAE,Levant Grey Shrike,,1,42.952551,17.062713,Asia,Saudi Arabia,SA,,Saudi Arabia - Jazan,2014-01-22,13:57
Oena capensis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Namaqua Dove,,1,42.957479,17.064746,Asia,Saudi Arabia,SA,,Saudi Arabia - Jazan,2014-01-22,14:01
Oena capensis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Namaqua Dove,,1,42.938011,17.063064,Asia,Saudi Arabia,SA,,Saudi Arabia - Jazan,2014-01-22,14:25
Pelecanus rufescens,Animalia,PELICANS_PELECANIDAE,Pink-backed Pelican,,33,42.2070938773,17.5310051153,Asia,Saudi Arabia,SA,,Saudi Arabia - Jazan,2014-01-21,12:15
Pelecanus rufescens,Animalia,PELICANS_PELECANIDAE,Pink-backed Pelican,,10,42.219295043,17.5259155958,Asia,Saudi Arabia,SA,,Saudi Arabia - Jazan,2014-01-21,11:10
Phoenicopterus roseus,Animalia,FLAMINGOS_PHOENICOPTERIDAE,Greater Flamingo,,5,42.219295043,17.5259155958,Asia,Saudi Arabia,SA,,Saudi Arabia - Jazan,2014-01-21,11:10
Thalasseus bergii,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Greater Crested Tern,,31,42.1356030331,17.6031994158,Asia,Saudi Arabia,SA,,Saudi Arabia - Jazan,2014-01-21,07:48
Hydroprogne caspia,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Caspian Tern,,1,42.1356030331,17.6031994158,Asia,Saudi Arabia,SA,,Saudi Arabia - Jazan,2014-01-21,07:48
Butorides striata,Animalia,HERONS_ARDEIDAE,Striated Heron,,1,42.1356030331,17.6031994158,Asia,Saudi Arabia,SA,,Saudi Arabia - Jazan,2014-01-21,07:48
Papio hamadryas,Animalia,OLD_WORLD_MONKEYS_CERCOPITHECIDAE,Western Baboon,,40,42.130698,18.963554,Asia,Saudi Arabia,SA,,Saudi Arabia - Asir NP,2014-01-25,08:28
Oena capensis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Namaqua Dove,,1,42.803282,17.18152,Asia,Saudi Arabia,SA,,Saudi Arabia - Jazan,2014-01-21,16:44
Oena capensis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Namaqua Dove,,1,42.80216,17.180849,Asia,Saudi Arabia,SA,,Saudi Arabia - Jazan,2014-01-21,16:28
Upupa epops,Animalia,HOOPOES_UPUPIDAE,Eurasian Hoopoe,,1,42.130484,18.965798,Asia,Saudi Arabia,SA,,Saudi Arabia - Asir NP,2014-01-24,07:56
Monticola rufocinereus,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Little Rock Thrush,,1,42.131199,18.963858,Asia,Saudi Arabia,SA,,Saudi Arabia - Asir NP,2014-01-24,07:17
Papio hamadryas,Animalia,OLD_WORLD_MONKEYS_CERCOPITHECIDAE,Western Baboon,,20,42.107367,19.03829,Asia,Saudi Arabia,SA,,Saudi Arabia - Asir NP,2014-01-25,10:09
Ptyonoprogne obsoleta,Animalia,SWALLOWS_HIRUNDINIDAE,Pale Crag Martin,,4,42.131106,18.962639,Asia,Saudi Arabia,SA,,Saudi Arabia - Asir NP,2014-01-25,08:36
Papio hamadryas,Animalia,OLD_WORLD_MONKEYS_CERCOPITHECIDAE,Western Baboon,,40,42.130698,18.963554,Asia,Saudi Arabia,SA,,Saudi Arabia - Asir NP,2014-01-25,08:28
Dendrocoptes dorae,Animalia,WOODPECKERS_PICIDAE,Arabian Woodpecker,,2,42.134336,18.965495,Asia,Saudi Arabia,SA,,Saudi Arabia - Asir NP,2014-01-25,07:41
Cinnyris habessinicus,Animalia,SUNBIRDS_NECTARINIIDAE,Shining Sunbird,,1,42.387729,17.847493,Asia,Saudi Arabia,SA,,Saudi Arabia - Asir NP,2014-01-23,09:30
Spilopelia senegalensis,Animalia,PIGEONS_AND_DOVES_COLUMBIDAE,Laughing Dove,,5,42.387738,17.847488,Asia,Saudi Arabia,SA,,Saudi Arabia - Asir NP,2014-01-23,09:30
Ichthyaetus hemprichii,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Sooty Gull,,5,41.696,17.941,Asia,Saudi Arabia,SA,,Saudi Arabia - Jazan,2014-01-20,13:56
Monticola rufocinereus,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Little Rock Thrush,,4,42.132191,18.962053,Asia,Saudi Arabia,SA,,Saudi Arabia - Asir NP,2014-01-24,07:02
Dendrocoptes dorae,Animalia,WOODPECKERS_PICIDAE,Arabian Woodpecker,,1,42.132225,18.962448,Asia,Saudi Arabia,SA,,Saudi Arabia - Asir NP,2014-01-24,06:41
Papio hamadryas,Animalia,OLD_WORLD_MONKEYS_CERCOPITHECIDAE,Western Baboon,,7,42.130669,18.963601,Asia,Saudi Arabia,SA,,Saudi Arabia - Asir NP,2014-01-24,06:28
Platalea leucorodia,Animalia,IBISSES_AND_SPOONBILLS_THRESKIORNITHIDAE,Eurasian Spoonbill,,15,41.696,17.941,Asia,Saudi Arabia,SA,,Saudi Arabia - Jazan,2014-01-20,13:56
Hydroprogne caspia,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Caspian Tern,,6,41.6743052063,17.9536340275,Asia,Saudi Arabia,SA,,Saudi Arabia - Jazan,2014-01-20,11:20
Ichthyaetus hemprichii,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Sooty Gull,,67,41.6743052063,17.9536340275,Asia,Saudi Arabia,SA,,Saudi Arabia - Jazan,2014-01-20,11:20
Platalea leucorodia,Animalia,IBISSES_AND_SPOONBILLS_THRESKIORNITHIDAE,Eurasian Spoonbill,,2,41.6743052063,17.9536340275,Asia,Saudi Arabia,SA,,Saudi Arabia - Jazan,2014-01-20,11:20
Cercotrichas podobe,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Black Scrub Robin,,1,41.61453866,18.0964308717,Asia,Saudi Arabia,SA,,Saudi Arabia - Jazan,2014-01-20,09:15
Milvus aegyptius,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Yellow-billed Kite,,2,41.888361,17.806733,Asia,Saudi Arabia,SA,,Saudi Arabia - Asir NP,2014-01-20,16:04
Chroicocephalus genei,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Slender-billed Gull,,467,41.6861700317,17.9442857948,Asia,Saudi Arabia,SA,,Saudi Arabia - Jazan,2014-01-20,11:20
Cercotrichas podobe,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Black Scrub Robin,,1,41.622939,18.065427,Asia,Saudi Arabia,SA,,Saudi Arabia - Jazan,2014-01-20,09:44
Platalea leucorodia,Animalia,IBISSES_AND_SPOONBILLS_THRESKIORNITHIDAE,Eurasian Spoonbill,,9,41.681682,17.948789,Asia,Saudi Arabia,SA,,Saudi Arabia - Jazan,2014-01-20,11:04
Ichthyaetus hemprichii,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Sooty Gull,,5,39.106548,21.297896,Asia,Saudi Arabia,SA,,Saudi Arabia - Mecca,2014-01-18,10:29
Gelochelidon nilotica,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Gull-billed Tern,,4,50.029,26.69,Asia,Saudi Arabia,SA,,Saudi Arabia - Ash Sharquiyah,2014-01-16,12:30
Numenius arquata,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Eurasian Curlew,,2,50.029,26.69,Asia,Saudi Arabia,SA,,Saudi Arabia - Ash Sharquiyah,2014-01-16,12:30
Tringa totanus,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Common Redshank,,5,50.029,26.69,Asia,Saudi Arabia,SA,,Saudi Arabia - Ash Sharquiyah,2014-01-16,12:30
Xenus cinereus,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Terek Sandpiper,,9,50.029,26.69,Asia,Saudi Arabia,SA,,Saudi Arabia - Ash Sharquiyah,2014-01-16,12:30
Gelochelidon nilotica,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Gull-billed Tern,,80,49.994836,26.660263,Asia,Saudi Arabia,SA,,Saudi Arabia - Ash Sharquiyah,2014-01-16,07:15
Tringa totanus,Animalia,SANDPIPERS_AND_ALLIES_SCOLOPACIDAE,Common Redshank,,800,49.994845,26.660279,Asia,Saudi Arabia,SA,,Saudi Arabia - Ash Sharquiyah,2014-01-16,07:26
