scientificName,kingdom,family,vernacularName,previousIdentifications,individualCount,longitudeDecimal,latitudeDecimal,continent,country,countryCode,stateProvince,locality,eventDate,eventTime
Allograpta fuscotibialis,Animalia,HOVER_FLIES_OR_FLOWER_FLIES_SYRPHIDAE,,,3,42.647,11.765,Africa,Djibouti,DJ,,Djibouti - Tadjourah,2014-12-29,
Pantala flavescens,Animalia,SKIMMERS_LIBELLULIDAE,Wandering Glider,,1,43.146,11.558,Africa,Djibouti,DJ,,Djibouti - Djibouti,2015-01-01,20:00
Orthetrum sabina,Animalia,SKIMMERS_LIBELLULIDAE,Slender Skimmer,,1,42.577,11.171,Africa,Djibouti,DJ,,Djibouti - Dikhil,2014-12-31,
Orthetrum sabina,Animalia,SKIMMERS_LIBELLULIDAE,Slender Skimmer,,3,43.146,11.558,Africa,Djibouti,DJ,,Djibouti,2014-12-31,
Argemone mexicana,Plantae,PAPAVERACEAE,Mexican Poppy,,1,42.642,11.784,Africa,Djibouti,DJ,,Djibouti - Tadjourah,2014-12-29,
Pantala flavescens,Animalia,SKIMMERS_LIBELLULIDAE,Wandering Glider,,1,43.14639873,11.5576836,Africa,Djibouti,DJ,,Djibouti - Djibouti,2015-01-01,18:35
Lanius excubitor,Animalia,SHRIKES_LANIIDAE,Great Grey Shrike,,2,42.57590243,11.17047185,Africa,Djibouti,DJ,,Djibouti - Dikhil,2014-12-31,13:00
Eremopterix nigriceps,Animalia,LARKS_ALAUDIDAE,Black-crowned Sparrow-Lark,,1,42.64405714,11.21773494,Africa,Djibouti,DJ,,Djibouti - Dikhil,2014-12-31,16:11
Lanius excubitor,Animalia,SHRIKES_LANIIDAE,Great Grey Shrike,,1,42.75045009,11.10680126,Africa,Djibouti,DJ,,Djibouti - Ali Sabieh,2014-12-31,18:04
Litocranius walleri,Animalia,BOVIDS_BOVIDAE,Gerenuk,,2,42.80753706,11.01825161,Africa,Djibouti,DJ,,Djibouti - Ali Sabieh,2015-01-01,10:31
Madoqua saltiana,Animalia,BOVIDS_BOVIDAE,Salt's Dikdik,,2,42.80748925,11.01675047,Africa,Djibouti,DJ,,Djibouti - Ali Sabieh,2015-01-01,12:00
Alaemon alaudipes,Animalia,LARKS_ALAUDIDAE,Greater Hoopoe-Lark,,3,42.71780903,11.348512,Africa,Djibouti,DJ,,Djibouti - Ali Sabieh,2015-01-01,16:04
Litocranius walleri sclateri,Animalia,BOVIDS_BOVIDAE,Northern Gerenuk,,2,42.69295568,11.4313604,Africa,Djibouti,DJ,,Djibouti - Dikhil,2014-12-28,09:44
Lanius excubitor,Animalia,SHRIKES_LANIIDAE,Great Grey Shrike,,1,42.59888278,11.67811766,Africa,Djibouti,DJ,,Djibouti - Tadjourah,2014-12-28,13:59
Oreotragus oreotragus,Animalia,BOVIDS_BOVIDAE,Klipspringer,,3,42.59840975,11.71062111,Africa,Djibouti,DJ,,Djibouti - Tadjourah,2014-12-28,14:19
Neophron percnopterus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Egyptian Vulture,,3,42.63987611,11.77942364,Africa,Djibouti,DJ,,Djibouti - Tadjourah,2014-12-28,15:41
Neophron percnopterus,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Egyptian Vulture,,6,42.64074567,11.78300303,Africa,Djibouti,DJ,,Djibouti - Tadjourah,2014-12-28,16:12
